retailer_name,source_product_id,collected_at,price,promotion_type
롯데마트,OS0000080401568,2026-09-03T21:59:19,10980,
롯데마트,OS0000088002903,2026-09-03T21:59:19,3000,
롯데마트,OS0051500255377,2026-09-03T21:59:19,7490,
롯데마트,OS0072810652113,2026-09-03T21:59:19,8480,
롯데마트,OS0430001270094,2026-09-03T21:59:19,2990,
롯데마트,OS0430001270117,2026-09-03T21:59:19,2990,
롯데마트,OS3155253005948,2026-09-03T21:59:19,14990,
롯데마트,OS3184030001613,2026-09-03T21:59:19,7980,
롯데마트,OS3184030011629,2026-09-03T21:59:19,7980,
롯데마트,OS3199241070235,2026-09-03T21:59:19,4330,
롯데마트,OS3228020355741,2026-09-03T21:59:19,8990,
롯데마트,OS3228022910023,2026-09-03T21:59:19,8990,
롯데마트,OS3254550020262,2026-09-03T21:59:19,12980,
롯데마트,OS3254550020279,2026-09-03T21:59:19,12980,
롯데마트,OS3256760106125,2026-09-03T21:59:19,8010,
롯데마트,OS3256760303531,2026-09-03T21:59:19,7020,
롯데마트,OS3412290011098,2026-09-03T21:59:19,9980,
롯데마트,OS3412290011104,2026-09-03T21:59:19,10480,
롯데마트,OS3523230046176,2026-09-03T21:59:19,16000,
롯데마트,OS3523230046190,2026-09-03T21:59:19,16000,
롯데마트,OS4570118133045,2026-09-03T21:59:19,7000,
롯데마트,OS4582769938047,2026-09-03T21:59:19,7000,
롯데마트,OS5711953063954,2026-09-03T21:59:19,10900,
롯데마트,OS5900512984766,2026-09-03T21:59:19,1980,
롯데마트,OS5900512989396,2026-09-03T21:59:19,1900,
롯데마트,OS5900512990262,2026-09-03T21:59:19,1900,
롯데마트,OS5901062002702,2026-09-03T21:59:19,1900,
롯데마트,OS6974849243024,2026-09-03T21:59:19,4490,
롯데마트,OS8001733104098,2026-09-03T21:59:19,12980,
롯데마트,OS8001733104203,2026-09-03T21:59:19,12980,
롯데마트,OS8006830982716,2026-09-03T21:59:19,12780,
롯데마트,OS8411024210252,2026-09-03T21:59:19,8490,
롯데마트,OS8411024603894,2026-09-03T21:59:19,8490,
롯데마트,OS8800286282495,2026-09-03T21:59:19,39900,
롯데마트,OS8800300971664,2026-09-03T21:59:19,11000,
롯데마트,OS8800368310108,2026-09-03T21:59:19,18900,
롯데마트,OS8801007036106,2026-09-03T21:59:19,5550,
롯데마트,OS8801007036113,2026-09-03T21:59:19,2350,
롯데마트,OS8801007037417,2026-09-03T21:59:19,2240,
롯데마트,OS8801007039404,2026-09-03T21:59:19,4100,
롯데마트,OS8801007039411,2026-09-03T21:59:19,5050,
롯데마트,OS8801007039442,2026-09-03T21:59:19,1650,
롯데마트,OS8801007039459,2026-09-03T21:59:19,2100,
롯데마트,OS8801007100838,2026-09-03T21:59:19,2280,
롯데마트,OS8801007101309,2026-09-03T21:59:19,2680,
롯데마트,OS8801007101408,2026-09-03T21:59:19,2780,
롯데마트,OS8801007102238,2026-09-03T21:59:19,6380,
롯데마트,OS8801007102672,2026-09-03T21:59:19,8080,
롯데마트,OS8801007125398,2026-09-03T21:59:19,2850,
롯데마트,OS8801007184777,2026-09-03T21:59:19,2580,
롯데마트,OS8801007184791,2026-09-03T21:59:19,4480,
롯데마트,OS8801007184807,2026-09-03T21:59:19,4680,
롯데마트,OS8801007184814,2026-09-03T21:59:19,8580,
롯데마트,OS8801007792453,2026-09-03T21:59:19,1780,
롯데마트,OS8801013110302,2026-09-03T21:59:19,6280,
롯데마트,OS8801013120103,2026-09-03T21:59:19,2650,
롯데마트,OS8801013120301,2026-09-03T21:59:19,7780,
롯데마트,OS8801013130102,2026-09-03T21:59:19,2750,
롯데마트,OS8801013711011,2026-09-03T21:59:19,1680,
롯데마트,OS8801013810035,2026-09-03T21:59:19,2380,
롯데마트,OS8801045684475,2026-09-03T21:59:19,5990,
롯데마트,OS8801052729565,2026-09-03T21:59:19,5080,
롯데마트,OS8801052729572,2026-09-03T21:59:19,5080,
롯데마트,OS8801062442973,2026-09-03T21:59:19,6500,
롯데마트,OS8801068391633,2026-09-03T21:59:19,7980,
롯데마트,OS8801068409239,2026-09-03T21:59:19,4980,
롯데마트,OS8801068932171,2026-09-03T21:59:19,4490,
롯데마트,OS8801069121253,2026-09-03T21:59:19,4090,
롯데마트,OS8801069173580,2026-09-03T21:59:19,3150,
롯데마트,OS8801069173597,2026-09-03T21:59:19,1950,
롯데마트,OS8801069173603,2026-09-03T21:59:19,2980,
롯데마트,OS8801069211459,2026-09-03T21:59:19,5690,
롯데마트,OS8801069221397,2026-09-03T21:59:19,5880,
롯데마트,OS8801069300801,2026-09-03T21:59:19,5280,
롯데마트,OS8801069403724,2026-09-03T21:59:19,3790,
롯데마트,OS8801069409467,2026-09-03T21:59:19,6380,
롯데마트,OS8801069415680,2026-09-03T21:59:19,6380,
롯데마트,OS8801069420363,2026-09-03T21:59:19,5280,
롯데마트,OS8801069424125,2026-09-03T21:59:19,2980,
롯데마트,OS8801069424132,2026-09-03T21:59:19,2980,
롯데마트,OS8801104212212,2026-09-03T21:59:19,5780,
롯데마트,OS8801104220453,2026-09-03T21:59:19,5780,
롯데마트,OS8801104221450,2026-09-03T21:59:19,5800,
롯데마트,OS8801104301527,2026-09-03T21:59:19,7280,
롯데마트,OS8801104301534,2026-09-03T21:59:19,7280,
롯데마트,OS8801104306706,2026-09-03T21:59:19,7280,
롯데마트,OS8801104665414,2026-09-03T21:59:19,6390,
롯데마트,OS8801104674133,2026-09-03T21:59:19,6390,
롯데마트,OS8801104940887,2026-09-03T21:59:19,5800,
롯데마트,OS8801104948944,2026-09-03T21:59:19,5800,
롯데마트,OS8801114184035,2026-09-03T21:59:19,6990,OTHER
롯데마트,OS8801114185377,2026-09-03T21:59:19,6980,MULTI
롯데마트,OS8801115110026,2026-09-03T21:59:19,3580,
롯데마트,OS8801115110033,2026-09-03T21:59:19,6980,
롯데마트,OS8801115111030,2026-09-03T21:59:19,5970,
롯데마트,OS8801115111054,2026-09-03T21:59:19,7580,
롯데마트,OS8801115114123,2026-09-03T21:59:19,3180,
롯데마트,OS8801115114130,2026-09-03T21:59:19,1950,
롯데마트,OS8801115114154,2026-09-03T21:59:19,2970,
롯데마트,OS8801115114260,2026-09-03T21:59:19,3640,
롯데마트,OS8801115114338,2026-09-03T21:59:19,3650,
롯데마트,OS8801115114611,2026-09-03T21:59:19,5480,
롯데마트,OS8801115114727,2026-09-03T21:59:19,1800,
롯데마트,OS8801115115045,2026-09-03T21:59:19,14900,
롯데마트,OS8801115115151,2026-09-03T21:59:19,2850,
롯데마트,OS8801115115632,2026-09-03T21:59:19,3780,
롯데마트,OS8801115115816,2026-09-03T21:59:19,18800,
롯데마트,OS8801115117018,2026-09-03T21:59:19,4980,
롯데마트,OS8801115117070,2026-09-03T21:59:19,2980,
롯데마트,OS8801115118114,2026-09-03T21:59:19,4980,
롯데마트,OS8801115118183,2026-09-03T21:59:19,3280,
롯데마트,OS8801115118213,2026-09-03T21:59:19,5980,
롯데마트,OS8801115118220,2026-09-03T21:59:19,3180,
롯데마트,OS8801115118367,2026-09-03T21:59:19,7580,
롯데마트,OS8801115118374,2026-09-03T21:59:19,5480,
롯데마트,OS8801115132134,2026-09-03T21:59:19,4580,MULTIBUY_50_PERCENT
롯데마트,OS8801115134169,2026-09-03T21:59:19,6490,
롯데마트,OS8801115135098,2026-09-03T21:59:19,3590,OTHER
롯데마트,OS8801115135104,2026-09-03T21:59:19,3590,OTHER
롯데마트,OS8801115135111,2026-09-03T21:59:19,3590,OTHER
롯데마트,OS8801115136538,2026-09-03T21:59:19,6180,
롯데마트,OS8801115136682,2026-09-03T21:59:19,2700,OTHER
롯데마트,OS8801115137382,2026-09-03T21:59:19,5880,
롯데마트,OS8801115137450,2026-09-03T21:59:19,4980,
롯데마트,OS8801115140214,2026-09-03T21:59:19,1440,
롯데마트,OS8801115212027,2026-09-03T21:59:19,3790,
롯데마트,OS8801115213017,2026-09-03T21:59:19,3080,
롯데마트,OS8801115214861,2026-09-03T21:59:19,6980,
롯데마트,OS8801115218012,2026-09-03T21:59:19,3280,
롯데마트,OS8801115218074,2026-09-03T21:59:19,2780,
롯데마트,OS8801115219071,2026-09-03T21:59:19,2780,
롯데마트,OS8801115411079,2026-09-03T21:59:19,19900,
롯데마트,OS8801115421078,2026-09-03T21:59:19,20650,
롯데마트,OS8801115511113,2026-09-03T21:59:19,11580,
롯데마트,OS8801115531074,2026-09-03T21:59:19,6980,
롯데마트,OS8801115562016,2026-09-03T21:59:19,5590,
롯데마트,OS8801115562115,2026-09-03T21:59:19,10900,
롯데마트,OS8801115711056,2026-09-03T21:59:19,5680,
롯데마트,OS8801115720416,2026-09-03T21:59:19,4980,
롯데마트,OS8801115720447,2026-09-03T21:59:19,14980,
롯데마트,OS8801115720539,2026-09-03T21:59:19,14980,
롯데마트,OS8801118012754,2026-09-03T21:59:19,4990,
롯데마트,OS8801118557347,2026-09-03T21:59:19,10480,
롯데마트,OS8801118559747,2026-09-03T21:59:19,9490,
롯데마트,OS8801118559754,2026-09-03T21:59:19,4390,
롯데마트,OS8801121020968,2026-09-03T21:59:19,5720,
롯데마트,OS8801121020982,2026-09-03T21:59:19,5450,
롯데마트,OS8801121021002,2026-09-03T21:59:19,5450,
롯데마트,OS8801121023921,2026-09-03T21:59:19,4990,
롯데마트,OS8801121023938,2026-09-03T21:59:19,4990,
롯데마트,OS8801121024126,2026-09-03T21:59:19,6990,
롯데마트,OS8801121026519,2026-09-03T21:59:19,7490,
롯데마트,OS8801121026533,2026-09-03T21:59:19,7490,
롯데마트,OS8801121026649,2026-09-03T21:59:19,6490,
롯데마트,OS8801121032015,2026-09-03T21:59:19,3580,
롯데마트,OS8801121032862,2026-09-03T21:59:19,4830,
롯데마트,OS8801121032909,2026-09-03T21:59:19,4990,
롯데마트,OS8801121032916,2026-09-03T21:59:19,4990,
롯데마트,OS8801121032930,2026-09-03T21:59:19,4990,
롯데마트,OS8801121033388,2026-09-03T21:59:19,3980,
롯데마트,OS8801121033395,2026-09-03T21:59:19,3980,
롯데마트,OS8801121034163,2026-09-03T21:59:19,4990,
롯데마트,OS8801121039441,2026-09-03T21:59:19,4080,
롯데마트,OS8801121041512,2026-09-03T21:59:19,8990,
롯데마트,OS8801121102398,2026-09-03T21:59:19,3780,
롯데마트,OS8801121109618,2026-09-03T21:59:19,5380,
롯데마트,OS8801121112793,2026-09-03T21:59:19,2700,
롯데마트,OS8801121752197,2026-09-03T21:59:19,3780,
롯데마트,OS8801121759424,2026-09-03T21:59:19,8590,
롯데마트,OS8801121768136,2026-09-03T21:59:19,6990,
롯데마트,OS8801121772874,2026-09-03T21:59:19,2970,
롯데마트,OS8801121772898,2026-09-03T21:59:19,2980,
롯데마트,OS8801123101184,2026-09-03T21:59:19,6280,OTHER
롯데마트,OS8801123102020,2026-09-03T21:59:19,6280,OTHER
롯데마트,OS8801128281089,2026-09-03T21:59:19,4880,
롯데마트,OS8801128285469,2026-09-03T21:59:19,3980,
롯데마트,OS8801128945073,2026-09-03T21:59:19,1380,
롯데마트,OS8801149406843,2026-09-03T21:59:19,9900,
롯데마트,OS8801155000349,2026-09-03T21:59:19,2780,
롯데마트,OS8801155000356,2026-09-03T21:59:19,5380,
롯데마트,OS8801155721954,2026-09-03T21:59:19,3480,
롯데마트,OS8801155721992,2026-09-03T21:59:19,6480,
롯데마트,OS8801155722555,2026-09-03T21:59:19,7380,
롯데마트,OS8801155723705,2026-09-03T21:59:19,5980,
롯데마트,OS8801155730932,2026-09-03T21:59:19,6980,
롯데마트,OS8801155731625,2026-09-03T21:59:19,1900,MULTIBUY_50_PERCENT
롯데마트,OS8801155731632,2026-09-03T21:59:19,1900,MULTIBUY_50_PERCENT
롯데마트,OS8801155731830,2026-09-03T21:59:19,1900,MULTIBUY_50_PERCENT
롯데마트,OS8801155731847,2026-09-03T21:59:19,1900,MULTIBUY_50_PERCENT
롯데마트,OS8801155742744,2026-09-03T21:59:19,4980,
롯데마트,OS8801155743819,2026-09-03T21:59:19,3480,
롯데마트,OS8801155744236,2026-09-03T21:59:19,6880,
롯데마트,OS8801155744441,2026-09-03T21:59:19,1880,
롯데마트,OS8801155745004,2026-09-03T21:59:19,2680,MULTIBUY_50_PERCENT
롯데마트,OS8801155811648,2026-09-03T21:59:19,6880,
롯데마트,OS8801155978136,2026-09-03T21:59:19,5280,
롯데마트,OS8801176101018,2026-09-03T21:59:19,1620,
롯데마트,OS8801176101124,2026-09-03T21:59:19,4140,
롯데마트,OS8801189205796,2026-09-03T21:59:19,1880,
롯데마트,OS8801207090830,2026-09-03T21:59:19,6480,
롯데마트,OS8801207091028,2026-09-03T21:59:19,6480,
롯데마트,OS8801207101062,2026-09-03T21:59:19,2980,
롯데마트,OS8801207130499,2026-09-03T21:59:19,4990,
롯데마트,OS8801207150343,2026-09-03T21:59:19,5480,
롯데마트,OS8801207151883,2026-09-03T21:59:19,6480,
롯데마트,OS8801207151890,2026-09-03T21:59:19,3190,
롯데마트,OS8801207153047,2026-09-03T21:59:19,3490,
롯데마트,OS8801207153139,2026-09-03T21:59:19,3490,
롯데마트,OS8801207159377,2026-09-03T21:59:19,6980,
롯데마트,OS8801207159926,2026-09-03T21:59:19,2990,
롯데마트,OS8801207160298,2026-09-03T21:59:19,3960,
롯데마트,OS8801207160359,2026-09-03T21:59:19,4980,
롯데마트,OS8801207990291,2026-09-03T21:59:19,7580,
롯데마트,OS8801207990604,2026-09-03T21:59:19,4290,
롯데마트,OS8801207991137,2026-09-03T21:59:19,8980,
롯데마트,OS8801207991564,2026-09-03T21:59:19,4180,
롯데마트,OS8801382150770,2026-09-03T21:59:19,950,
롯데마트,OS8801392073199,2026-09-03T21:59:19,4980,
롯데마트,OS8801526141282,2026-09-03T21:59:19,500,
롯데마트,OS8801526141299,2026-09-03T21:59:19,500,
롯데마트,OS8801526141305,2026-09-03T21:59:19,500,
롯데마트,OS8801753100786,2026-09-03T21:59:19,2490,
롯데마트,OS8801753110709,2026-09-03T21:59:19,12900,
롯데마트,OS8801753110716,2026-09-03T21:59:19,2990,
롯데마트,OS8801844109179,2026-09-03T21:59:19,3890,
롯데마트,OS8801844109186,2026-09-03T21:59:19,2090,
롯데마트,OS8801844109193,2026-09-03T21:59:19,3990,
롯데마트,OS8801844109209,2026-09-03T21:59:19,2690,
롯데마트,OS8801844109216,2026-09-03T21:59:19,4990,
롯데마트,OS8801844109223,2026-09-03T21:59:19,2290,
롯데마트,OS8801844109230,2026-09-03T21:59:19,5990,
롯데마트,OS8801844109247,2026-09-03T21:59:19,5990,
롯데마트,OS8801844109544,2026-09-03T21:59:19,6490,
롯데마트,OS8801844180277,2026-09-03T21:59:19,3300,
롯데마트,OS8801844180826,2026-09-03T21:59:19,3300,
롯데마트,OS8801844180864,2026-09-03T21:59:19,3300,
롯데마트,OS8804434000863,2026-09-03T21:59:19,3990,
롯데마트,OS8804434000870,2026-09-03T21:59:19,3990,
롯데마트,OS8804434000887,2026-09-03T21:59:19,2990,
롯데마트,OS8805999601502,2026-09-03T21:59:19,2590,
롯데마트,OS8805999602097,2026-09-03T21:59:19,3650,
롯데마트,OS8805999603957,2026-09-03T21:59:19,3490,
롯데마트,OS8806371351084,2026-09-03T21:59:19,6280,OTHER
롯데마트,OS8806371360321,2026-09-03T21:59:19,6280,OTHER
롯데마트,OS8809015182730,2026-09-03T21:59:19,2380,
롯데마트,OS8809032697408,2026-09-03T21:59:19,3990,
